국가,수출,수입
독일,"1,463,880 ","1,198,970 "
중국,"1,428,660 ","1,131,620 "
미국,"1,301,110 ","2,165,240 "
일본,"786,430 ","762,592 "
프랑스,"605,455 ","705,718 "
네덜란드,"541,483 ","488,961 "
벨기에,"477,332 ","470,829 "
영국,"459,847 ","632,624 "
캐나다,"452,156 ","417,352 "
한국,"422,007 ","435,275 "
에스파냐,"277,696 ","417,049 "
타이완,"255,629 ","240,448 "
스위스,"191,703 ","173,285 "
오스트레일리아,"187,079 ","200,272 "
오스트리아,"173,958 ","172,847 "
폴란드,"169,537 ","206,075 "
노르웨이,"165,270 ","87,954 "
체코,"146,089 ","141,835 "
아일랜드,"126,102 ","82,654 "
덴마크,"115,817 ","111,346 "
헝가리,"107,465 ","106,380 "
핀란드,"96,880 ","92,125 "
포르투갈,"57,225 ","89,910 "
뉴질랜드,"30,582 ","34,374 "
그리스,"25,231 ","77,831 "
크로아티아,"14,112 ","30,728 "
