都道府県,2015年,2010年,2005年,1995年,1970年,1945年,1920年
北海道,5381733,5506419,5627737,5692321,5184287,3518389,2359183
青森県,1308265,1373339,1436657,1481663,1427520,1083250,756454
岩手県,1279594,1330147,1385041,1419505,1371383,1227789,845540
宮城県,2333899,2348165,2360218,2328739,1819223,1462254,961768
秋田県,1023119,1085997,1145501,1213667,1241376,1211871,898537
山形県,1123891,1168924,1216181,1256958,1225618,1326350,968925
福島県,1914039,2029064,2091319,2133592,1946077,1957356,1362750
茨城県,2916976,2969770,2975167,2955530,2143551,1944344,1350400
栃木県,1974255,2007683,2016631,1984390,1580021,1546355,1046479
群馬県,1973115,2008068,2024135,2003540,1658909,1546081,1052610
埼玉県,7266534,7194556,7054243,6759311,3866472,2047261,1319533
千葉県,6222666,6216289,6056462,5797782,3366624,1966862,1336155
東京都,13515271,13159388,12576601,11773605,11408071,3488284,3699428
神奈川県,9126214,9048331,8791597,8245900,5472247,1865667,1323390
新潟県,2304264,2374450,2431459,2488364,2360982,2389653,1776474
富山県,1066328,1093247,1111729,1123125,1029695,953834,724276
石川県,1154008,1169788,1174026,1180068,1002420,887510,747360
福井県,786740,806314,821592,826996,744230,724856,599155
山梨県,834930,863075,884515,881996,762029,839057,583453
長野県,2098804,2152449,2196114,2193984,1956917,2121050,1562722
岐阜県,2031903,2080773,2107226,2100315,1758954,1518649,1070407
静岡県,3700305,3765007,3792377,3737689,3089895,2220358,1550387
愛知県,7483128,7410719,7254704,6868336,5386163,2857851,2089762
三重県,1815865,1854724,1866963,1841358,1543083,1394286,1069270
滋賀県,1412916,1410777,1380361,1287005,889768,860911,651050
京都府,2610353,2636092,2647660,2629592,2250087,1603796,1287147
大阪府,8839469,8865245,8817166,8797268,7620480,2800958,2587847
兵庫県,5534800,5588133,5590601,5401877,4667928,2821892,2301799
奈良県,1364316,1400728,1421310,1430862,930160,779685,564607
和歌山県,963579,1002198,1035969,1080435,1042736,936006,750411
鳥取県,573441,588667,607012,614929,568777,563220,454675
島根県,694352,717397,742223,771441,773575,860275,714712
岡山県,1921525,1945276,1957264,1950750,1707026,1564626,1217698
広島県,2843990,2860750,2876642,2881748,2436135,1885471,1541905
山口県,1404729,1451338,1492606,1555543,1511448,1356491,1041013
徳島県,755733,785491,809950,832427,791111,835763,670212
香川県,976263,995842,1012400,1027006,907897,863700,677852
愛媛県,1385262,1431493,1467815,1506700,1418124,1361484,1046720
高知県,728276,764456,796292,816704,786882,775578,670895
福岡県,5101556,5071968,5049908,4933393,4027416,2746855,2188249
佐賀県,832832,849788,866369,884316,838468,830431,673895
長崎県,1377187,1426779,1478632,1544934,1570245,1318589,1136182
熊本県,1786170,1817426,1842233,1859793,1700229,1556490,1233233
大分県,1166338,1196529,1209571,1231306,1155566,1124513,860282
宮崎県,1104069,1135233,1153042,1175819,1051105,913687,651097
鹿児島県,1648177,1706242,1753179,1794224,1729150,1538466,1415582
沖縄県,1433566,1392818,1361594,1273440,945111,-,571572
